Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces,1260000,,,Pro,2026-02-07 08:30:00,https://www.properstar.fr/listing/113761236,".Dans le quartier très prisé de Cimiez, cette villa rare signée par l'architecte niçois H.Toscan incarne tout le charme et le raffinement des ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 12 pièces 735 m²,5692500,7744.897959183673,735.0,Pro,2026-02-07 02:30:00,https://www.green-acres.fr/fr/properties/immobilier/nice/Al6p4fl4a306qeol.htm,"Nice Cimiez Le Regina : Bien d'exception polyvalent de 735 m² Situé dans le prestigieux quartier de Cimiez, à proximité des jardins historiques, ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 145 m²,1450000,10000.0,145.0,Pro,2026-02-06 23:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140700186,NICE - GRANDE CORNICHE : Maison 5 pièces - 145 m2 MAISON 5 PIÈCES - À vendre : découvrez à Nice cette maison de 145 m2 de surface habitable sur 2 ...
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 152 m²,1260000,8289.473684210527,152.0,Pro,2026-02-06 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-39285/260331149/,"Belle Villa bas Cimiez .Dans le quartier très prisé de Cimiez, cette villa rare incarne tout le charme et le raffinement des années 1950. Edifiée ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 180 m²,1190000,6611.111111111111,180.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260327111/detail.htm,"Située dans le secteur très recherché de Nice Saint-Pancrace, au calme absolu et bénéficiant d'un excellent ensoleillement, cette magnifique ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 160 m²,900000,5625.0,160.0,Particulier,2026-02-05 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140122289,"Maison divisée en 3 appartements - Fort rendement locatif - Nice Cyrnos 📍 Nice - secteur Cyrnos Idéal investisseur ou projet patrimonial, cette ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 51 m²,430000,8431.372549019608,51.0,Particulier,2026-02-05 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3139421091,"Je vous propose cette maison de 4 pièces et 51 m² située à Nice, dans le quartier de la Madeleine. Cette maison comprend 2 chambres et 1 salle de ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 3 pièces 360 m²,2480000,6888.888888888889,360.0,Pro,2026-02-05 21:30:00,https://www.properstar.fr/listing/113688963,"Cette luxueuse propriété de plain-pied d'environ 360 m2, exposée plein sud, a été construite en 1977 et a été régulièrement entretenue. Il ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 200 m²,2200000,11000.0,200.0,Pro,2026-02-05 21:30:00,https://www.seloger.com/260128631/detail.htm,"EXCLUSIVITÉ - Villa de caractère avec vue mer Dans l'un des quartiers les plus prestigieux de Nice, au Cap de Nice - Mont Boron, cette villa ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 3 pièces 62 m²,299000,4822.580645161291,62.0,Pro,2026-02-04 21:30:00,https://www.seloger.com/260063177/detail.htm,La Madeleine : Maison atypique au calme avec jardin et stationnement privatif. Cette charmante maison de 62 m² saura vous séduire par son cadre ...
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 79 m²,549000,6949.367088607595,79.0,Pro,2026-02-04 21:30:00,https://www.bienici.com/annonce/ag066978-511799654,"NOUVEAUTE ! Maison 4 pièces avec jardin, secteur recherché de La Lanterne Située dans le quartier résidentiel prisé de La Lanterne, au sein d'une ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 1 pièces 46 m²,460000,10000.0,46.0,Particulier,2026-02-03 21:30:00,https://www.seloger.com/26VWD3DVYBQ2/detail.htm,"🏡 À VENDRE - Maison en copropriété avec grand terrain - Nice Madeleine Située dans le quartier recherché de la Madeleine à Nice, cette maison ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 360 m²,2480000,6888.888888888889,360.0,Pro,2026-02-03 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-39296/260003357/,"Cette propriété cossue d'environ 360 m² de plain-pied, exposée au Sud, construite en 1977 et régulièrement entretenue, comprend : une entrée, ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 134 m²,1150000,8582.089552238805,134.0,Pro,2026-02-03 21:30:00,https://www.seloger.com/259984181/detail.htm,"Situé dans le secteur résidentiel de Rimiez, dans une charmante maison en pierre divisée en 3 lots distincts, 1 par étage, et ayant chacun un ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 79 m²,399000,5050.632911392405,79.0,Pro,2026-02-03 21:30:00,https://www.seloger.com/259945215/detail.htm,"NICE-BELLET : Sur les collines de Bellet, maison de 80 m2 avec beaucoup de charme et une vue collines dégagée sur une parcelle de 1000 m2. Elle se ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces,1200000,,,Pro,2026-02-03 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-2474/259935123/,"L'office notarial SELAS PAUL & Associés-Notaires, SCP vous propose : Villa à vendre en Immo-interactif - - - - - - - - - - - Adresse du bien : 180 ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 80 m²,534000,6675.0,80.0,Pro,2026-02-01 21:30:00,https://www.properstar.fr/listing/113574932,"Maison MAISON INDIVIDUELLE À RENOVER AVEC BEAU POTENTIEL Nous avons le plaisir de vous proposer à la vente cette maison individuelle de 80 m², ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 1175 m²,18700000,106857.14285714286,175.0,Pro,2026-01-31 21:30:00,https://www.green-acres.fr/fr/properties/immobilier/nice/Ac4ubbcmbxgppv5z.htm,"Nice - Mont Boron | Exceptional property with panoramic sea view. Ideally located in one of Nice's most prestigious districts, in the heart of the ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 311 m²,3400000,10932.475884244372,311.0,Pro,2026-01-31 21:30:00,https://www.green-acres.fr/fr/properties/immobilier/nice/A9e51jw4dpf3i193.htm,"Nice Collines / Gairaut : Située en position dominante, au coeur d'un magnifique parc composé de différentes planches et d'allées de promenade, ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces,314000,,,Pro,2026-01-31 21:30:00,https://www.green-acres.fr/fr/properties/immobilier/nice/Arq1qdb9odd2z0zh.htm,Nice est située au coeur d'une nature préservée entre la grande bleue et les pistes de ski des Alpes. Flâner dans les rues étroites et colorées ...
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 128 m²,560000,4375.0,128.0,Pro,2026-01-31 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-39274/259748071/,"? Jolie maison au charme authentique Typique des années 1920-1930, cette maison séduit par sa façade enduite aux tons clairs, ses volets battants, ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 191 m²,1890000,9895.287958115185,191.0,Pro,2026-01-31 21:30:00,https://www.maisonsetappartements.fr/ads/4160173,"NICE AIRE SAINT MICHEL : Sublime villa contemporaine située au calme absolu, en position dominante avec une superbe vue mer et colline. A ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 198 m²,1250000,6313.131313131313,198.0,Pro,2026-01-30 21:30:00,https://www.bienici.com/annonce/immo-facile-59920344,"Dans un cadre préservé aux accents du Sud, cette villa Niçoise au charme incontestable déploie ses 200 m² habitables sur un terrain joliment ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 135 m²,1090000,8074.074074074074,135.0,Pro,2026-01-30 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-2474/259650689/,"AVENUE DES BAUMETTES, proche de la promenade des anglais, du tramway et des commerces mais au CALME complet, très belle MAISON DE VILLE REFAITE A ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 143 m²,860000,6013.986013986014,143.0,Pro,2026-01-30 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3136429266,"Maison avec vue mer de 143m² habitable, idéalement située à seulement 10 minutes de la Clinique Saint-Georges et de l'accès A8 Nice Nord. ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 120 m²,820000,6833.333333333333,120.0,Particulier,2026-01-29 21:30:00,https://www.pap.fr/annonces/-r462000165,"Villa, sur 3 niveaux, 6 pièces construction 2008, 3 chambres+bureau, 2 SB, 2 WC cuisine ouverte sur séjour salon accès au jardin arboré avec sa ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 9 pièces 204 m²,840000,4117.64705882353,204.0,Pro,2026-01-29 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3135838514,"MAISON FAMILIALE AVEC 2 APPARTEMENTS, PISCINE ET DÉPENDANCES - LINGOSTIÈRE Idéalement située à proximité immédiate des commerces et des ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 120 m²,890000,7416.666666666667,120.0,Particulier,2026-01-29 21:30:00,https://www.seloger.com/26FY38V6BNQG/detail.htm,"Belle maison niçoise de 120m2 entourée d'un jardin méditerranéen. Idéalement située à proximité du centre ville de ses écoles, collèges, ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 192 m²,1890000,9843.75,192.0,Pro,2026-01-29 21:30:00,https://luxuryestate.com/fr/p132208879-maison-de-luxe-en-vente-nice,"NICE AIRE SAINT MICHEL : Sublime villa contemporaine située au calme absolu, en position dominante avec une superbe vue mer et colline. A ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 212 m²,1895000,8938.67924528302,212.0,Pro,2026-01-29 21:30:00,https://www.properstar.fr/listing/113481980,"Nice Fabron, à seulement 10 minutes en voiture de l'aéroport international de Nice, située dans un quartier résidentiel calme et prisé, cette ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 86 m²,165264,1921.6744186046512,86.0,Pro,2026-01-29 21:30:00,https://www.seloger.com/259497747/detail.htm,"VILLA SUR LES HAUTEUR DE NICE FABRON, 87M² CARREZ ET PLUS DE 200M² HABITABLES, VIAGER OCCUPÉ Référence 422506118 Age : Homme de 76 ans / Femme de ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 8 pièces 274 m²,1275000,4653.284671532847,274.0,Pro,2026-01-28 21:30:00,https://www.green-acres.fr/fr/properties/x/x/Aazr69z6jrsa7xjc.htm,"Artist's house in the heart of Nice - 230 Sqm - Charming Artist's House. A unique opportunity in the heart of the city of Nice. A large house, ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 144 m²,980000,6805.555555555556,144.0,Pro,2026-01-28 21:30:00,https://www.seloger.com/259438755/detail.htm,"Villa contemporaine avec piscine et vue mer - Rimiez Située sur le chemin de Rimiez, dans un environnement calme, verdoyant et résidentiel, cette ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 135 m²,1090000,8074.074074074074,135.0,Pro,2026-01-28 21:30:00,https://www.properstar.fr/listing/113448919,"AVENUE DES BAUMETTES, proche de la promenade des anglais, du tramway et des commerces mais au CALME complet, très belle MAISON DE VILLE REFAITE A ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 14 pièces 713 m²,5950000,8345.021037868162,713.0,Pro,2026-01-27 21:30:00,https://www.green-acres.fr/fr/properties/x/x/Abofn2atnw811grg.htm,"Nice quartier de l'Observatoire, villa d'exception en exclusivité Située dans l'un des quartiers résidentiels les plus recherchés de Nice, cette ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 170 m²,1750000,10294.117647058823,170.0,Pro,2026-01-26 21:30:00,https://www.seloger.com/259258265/detail.htm,"Exclusivité! Découvrez cette propriété d'exception offrant confort, tranquillité et un cadre naturel exceptionnel. La villa dispose d'un ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 110 m²,275000,2500.0,110.0,Particulier,2026-01-25 21:30:00,https://www.topannonces.fr/vente-maison/nice-06000/vente-maison-5-pieces-110m2/1288134300/,"Maison en pierres T5, autonome, forage, et solaire, cave voûtée 36 m2 Abrit voiture et 5 places paking Vue imprenable sur rivière et collines, pas ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 80 m²,550000,6875.0,80.0,Pro,2026-01-23 21:30:00,https://www.avendrealouer.fr/vente/nice-6/b-maison/4-pieces/loc-101-2310/fd-3132669229.html,"NICE - L'AIRE SAINT-MICHEL / FALICON : EXCLUSIVITÉ : Venez découvrir notre nouveau coup de coeur, « Romane », une très belle maison mitoyenne de ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 190 m²,1520000,8000.0,190.0,Pro,2026-01-23 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-39304/259080637/,NICE Crémat - Saint-Roman-de-Bellet EXCLUSIVITÉ ! Villa individuelle de plain-pied en position dominante / Vue panoramique 360° / Terrain plat ...
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 200 m²,1600000,8000.0,200.0,Pro,2026-01-23 21:30:00,https://www.seloger.com/259088059/detail.htm,"Située sur le Boulevard de Cambrai à Fabron, l'un des secteurs résidentiels les plus appréciés de Nice Ouest, à proximité immédiate de la ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 130 m²,1090000,8384.615384615385,130.0,Pro,2026-01-23 21:30:00,https://www.adaptimmobilier.com/fr/detail.htm?cle=0601813068,NICE OUEST - PLATEAU DE FABRON - VILLA 130 m² SUR 1400 m² DE TERRAIN PLAT - VUE MER & FORT POTENTIEL Villa 130 m² à rénover sur terrain plat de 1 ...
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 220 m²,2900000,13181.818181818182,220.0,Pro,2026-01-23 21:30:00,https://www.green-acres.fr/fr/properties/x/x/A294pxpw6pactvua.htm,"Mont Boron - Située dans le quartier résidentiel le plus prisé de Nice sur la Côte d'Azur, cette somptueuse villa du début du siècle d'une ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 8 pièces 250 m²,2200000,8800.0,250.0,Pro,2026-01-23 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-39306/259031023/,"Située dans l'un des secteurs les plus prisés de Nice - Gairaut, cette élégante villa de caractère bénéficie d'un environnement verdoyant tout ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 130 m²,820000,6307.692307692308,130.0,Particulier,2026-01-22 21:30:00,https://www.topannonces.fr/vente-villa/nice-06000/vente-villa-6-pieces-130m2/1288065385/,"Villa t5, , 2 niveaux plus dépendance studio plus 1 pour garage et parking Suppert jardin arboré avec terrasse fleurie bougainvillier #66d ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 215 m²,1990000,9255.813953488372,215.0,Pro,2026-01-22 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3132154602,"Nice Cimiez / Villebois Mareuil: Au coeur du très recherché quartier de Cimiez, Villa bourgeoise de 215 m² nichée au sein d'un domaine privé et ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 104 m²,947000,9105.76923076923,104.0,Pro,2026-01-22 21:30:00,https://www.laforet.com/agence-immobiliere/nice-liberation/acheter/nice/maison-4-pieces-52466355,Un produit rare. Magnifique maison de ville 4 pièces en plein de coeur de Libération. Plus de 104 m² habitables et 53 m² d'espaces extérieurs ...
Nice,Maison,Vente Maison à vendre Nice (06000) 2 pièces 40 m²,116000,2900.0,40.0,Particulier,2026-01-22 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3132073382,"À vendre - terrain avec maison en ruine, Nice - Saint-André Propriété à vendre située au 20 Avenue Vincent Arnauld, Nice - ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 128 m²,1690000,13203.125,128.0,Particulier,2026-01-22 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3132046750,"Au coeur de Napoléon III, à proximité de toutes les commodités (écoles, commerces, bus...) et à 5 minutes de la Promenade des Anglais et de ses ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 173 m²,968000,5595.375722543353,173.0,Pro,2026-01-22 21:30:00,https://www.maisonsetappartements.fr/ads/4143981,"Maison de ville rare et pleine de charme, idéalement située au coeur de Nice, à proximité immédiate du tramway et de la mer. Entièrement ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 3 pièces 67 m²,479000,7149.253731343284,67.0,Pro,2026-01-22 21:30:00,https://www.bienici.com/annonce/hektor-interimmobilier-34155,"NICE NORD, SAINT-SYLVESTRE, idéalement située, proche de toutes commodités ( commerces, école, bus), MAISON individuelle 3 pièces de 67,29 m2 ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 3 pièces 220 m²,2900000,13181.818181818182,220.0,Pro,2026-01-22 21:30:00,https://www.properstar.fr/listing/113291797,"Mont Boron - Situé dans le quartier résidentiel le plus prestigieux de ?? Jolie sur la Côte d'Azur, cette somptueuse villa du tournant du siècle ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 3 pièces 130 m²,2400000,18461.53846153846,130.0,Pro,2026-01-22 21:30:00,https://www.properstar.fr/listing/113291803,"Nice Mont-Boron : villa rénovée avec vue panoramique sur la ville et la mer. Position dominante non négligée, orientée sud/sud-ouest avec de ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 220 m²,2900000,13181.818181818182,220.0,Pro,2026-01-21 21:30:00,https://www.residences-immobilier.com/fr/06/annonce-vente-maison-nice-4143595.html,"Mont Boron - Située dans le quartier résidentiel le plus prisé de Nice sur la Côte d'Azur, cette somptueuse villa du début du siècle d'une ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 274 m²,1275000,4653.284671532847,274.0,Particulier,2026-01-21 21:30:00,https://www.topannonces.fr/vente-maison/nice-06000/vente-maison-6-pieces-274m2/1288032093/,"Je vous présente une opportunité unique au coeur de Nice. Découvrez cette magnifique maison d'artiste des années 1930, véritable havre de paix et ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 92 m²,650000,7065.217391304348,92.0,Pro,2026-01-21 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3131344290,BELLE VILLA VUE MER dans une Résidence sécurisée sur les hauteurs de Nice dans le quartier très prisé de l'Archet - NapoléonA seulement quelques ...
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 158 m²,968000,6126.5822784810125,158.0,Pro,2026-01-21 21:30:00,https://www.green-acres.fr/fr/properties/x/x/A22buhxflqy26w30.htm,"Maison de ville rare et pleine de charme, idéalement située au coeur de Nice, à proximité immédiate du tramway et de la mer. Entièrement ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 145 m²,1479000,10200.0,145.0,Pro,2026-01-20 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3131114058,Bienvenue dans un véritable paradis sur les hauteurs de Nice ! Je suis ravie de vous présenter cette magnifique villa offrant une vue à couper le ...
Nice,Maison,Vente Maison à vendre Nice (06000) 170 m²,1349000,7935.294117647059,170.0,Particulier,2026-01-20 21:30:00,https://gensdeconfiance.com/fr/annonce/maison-cimiez-170m-7-pieces-jardin-au-calme-37ef3ac?utm_source=moteurimmo.fr&utm_medium=partner&utm_campaign=vente-2022,"Venez découvrir cette maison de caractère avec vue dominante et fort potentiel à Cimiez Dans l'un des secteurs les plus recherchés de Nice, au ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 130 m²,2400000,18461.53846153846,130.0,Pro,2026-01-20 21:30:00,https://www.century21.fr/trouver_logement/detail/15311975580/,"Nice Mont-Boron : villa rénovée avec vue panoramique ville et mer. Position dominante sans vis-à-vis, exposée sud/sud-ouest magnifiques couchers ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 111 m²,968000,8720.720720720721,111.0,Pro,2026-01-20 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-1-pl-48583/258799703/,"Maison de ville rare et pleine de charme, idéalement située au coeur de Nice, à proximité immédiate du tramway et de la mer. Entièrement ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 8 pièces 561 m²,3360000,5989.304812834224,561.0,Pro,2026-01-17 21:30:00,https://www.residences-immobilier.com/fr/06/annonce-vente-maison-nice-4134702.html,"Située à Nice Gairaut, au sein d'un domaine privé de standing entièrement sécurisé, cette propriété d'exception de 323 m² bénéficie d'un ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 9 pièces 253 m²,2490000,9841.897233201582,253.0,Pro,2026-01-16 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-39306/258551281/,"Située à Nice, au coeur d'un domaine privé sécurisé, cette villa contemporaine entièrement rénovée développe une surface d'environ 253 m² et ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 8 pièces 323 m²,3360000,10402.476780185758,323.0,Pro,2026-01-16 21:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-39306/258512841/,"Située à Nice Gairaut, au sein d'un domaine privé de standing entièrement sécurisé, cette propriété d'exception de 323 m² bénéficie d'un ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 120 m²,575000,4791.666666666667,120.0,Pro,2026-01-16 21:30:00,https://luxuryestate.com/fr/p132165793-maison-de-luxe-en-vente-nice,"Dans un petit lotissement sécurisé de plusieurs maisons dans le quartier très recherché de Saint Antoine, venez découvrir cette maison 5 pièces ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 323 m²,1790000,5541.795665634675,323.0,Pro,2026-01-15 21:30:00,https://www.maisonsetappartements.fr/ads/4131143,"NICE PARC IMPERIAL: Superbe Hotel particulier, fort potentiel, vue panoramique ville et mer, magnifique triple séjour, salle à manger, cuisine, 3 ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 180 m²,965000,5361.111111111111,180.0,Pro,2026-01-15 21:30:00,https://www.residences-immobilier.com/fr/06/annonce-vente-maison-nice-4131069.html,"COUP DE COEUR-VILLA NICE-SAINT PIERRE DE FERIC A Seulement 7 minutes du centre ville, à quelques minutes à pied de l'école de Saint Pierre de ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 72 m²,525000,7291.666666666667,72.0,Pro,2026-01-14 21:30:00,https://www.seloger.com/258381705/detail.htm,Vieux ch de Gairaut. Maison jumelée de 4 pièces offrant des espaces fonctionnels et une belle luminosité. double exposition . Est-ouest. Située ...
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 298 m²,1790000,6006.7114093959735,298.0,Pro,2026-01-14 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3127497402,"NICE PARC IMPERIAL: Superbe Hotel particulier, fort potentiel, vue panoramique ville et mer, magnifique triple séjour, salle à manger, cuisine, 3 ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 98 m²,650000,6632.65306122449,98.0,Pro,2026-01-14 21:30:00,https://www.century21.fr/trouver_logement/detail/15303572733/,"Quartier des Poêtes, Villa totalement rénové de 98m², au calme, cette maison bénéficie d'une belle cour pour le stationnement de 2 véhicules ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 10 pièces 212 m²,890000,4198.11320754717,212.0,Pro,2026-01-13 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3127260811,"Grande et belle maison Niçoise de 10 pièces située au nord de Nice, quartier Saint Maurice d'une surface habitable de 212 m2 avec extérieur de 235 ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 219 m²,2790000,12739.72602739726,219.0,Pro,2026-01-12 21:30:00,https://www.seloger.com/258195601/detail.htm,"À l'abri de tout vis-à-vis, cette villa d'architecte d'exception incarne l'élégance contemporaine. Conçue pour une clientèle exigeante, elle ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 5 pièces 122 m²,760000,6229.508196721312,122.0,Pro,2026-01-12 21:30:00,https://www.seloger.com/258185143/detail.htm,"Parc Impérial. Dans un domaine sécurisé avec piscine, situé dans le quartier préservé de La Corniche Bellevue, 10min centre ville. Maison ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 145 m²,1134000,7820.689655172414,145.0,Pro,2026-01-10 21:30:00,https://www.immobilier.notaires.fr/fr/annonce-immo-detail?idAnnonce=1885179,"Situé dans un domaine fermé résidentiel, cette maison bénéficie d'une position dominante offrant un cadre de vie privilégié. D'une surface ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 10 pièces 562 m²,2350000,4181.494661921708,562.0,Pro,2026-01-10 21:30:00,https://www.residences-immobilier.com/fr/06/annonce-vente-maison-nice-3279964.html,"Domaine St-Exupéry/proche hôpital St Georges: Dans un domaine recherché, découvrez cette villa familiale de 400 m² avec 87 m² de terrasses, ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 130 m²,980000,7538.461538461538,130.0,Pro,2026-01-09 21:30:00,https://www.seloger.com/258017061/detail.htm,"Nice Fabron : Un vrai coup de coeur en vente seulement chez DOMI NICE IMMOBILIER. Dans une rue privée au calme et proche des commodités, très belle ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 164 m²,995000,6067.073170731707,164.0,Particulier,2026-01-09 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3125020823,"Maison familiale mitoyenne de 164,5 m² - Nice Nord / Évêché Merci aux agences immobilières de ne pas nous contacter Située dans le quartier ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 95 m²,735000,7736.842105263157,95.0,Pro,2026-01-09 21:30:00,https://www.bienici.com/annonce/apimo-86640969,"Située au sein d'une copropriété sécurisée, cette élégante villa de style californien développe une surface habitable de 122 m² (type 3/4 ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 4 pièces 80 m²,495000,6187.5,80.0,Pro,2026-01-09 21:30:00,https://www.bienici.com/annonce/hektor-sudcontact-5061,"Situé dans le quartier de La Madeleine, découvrez ce magnifique haut de villa de 80 m2, alliant confort, luminosité et situation idéale. Ce bien ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 322 m²,899000,2791.9254658385094,322.0,Pro,2026-01-09 21:30:00,https://www.espaces-atypiques.com/ventes/06100-nice-maison-de-ville-volume-contemporain-et-potentiel-de-surelevation-14365/,"Située dans le quartier Saint-Sylvestre, cette maison de ville des années 40 a été radicalement transformée en un lieu de vie urbain et ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 193 m²,1295000,6709.844559585492,193.0,Pro,2026-01-09 21:30:00,https://www.seloger.com/257963895/detail.htm,"EXCLUSIVITE/ Nice Valrose - Villa de caractère avec piscine, jardin, stationnements privatifs et beaux volumes (bien rare) Dans le secteur très ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 6 pièces 205 m²,1470000,7170.731707317073,205.0,Pro,2026-01-09 21:30:00,https://www.lesiteimmo.com/acheter/maison-6pieces/nice-06200/32424835,"Dans le secteur recherché de Crémat, au calme et à 5mn des commerces de St Isidore, beaucoup de charme pour cette villa de 205 m², véranda de 36 ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 7 pièces 135 m²,1090000,8074.074074074074,135.0,Pro,2026-01-08 21:30:00,https://www.properstar.fr/listing/112923772,"AVENUE DES BAUMETTES, proche de la promenade des anglais, du tramway et des commerces mais au CALME complet, très belle MAISON DE VILLE REFAITE A ..."
Nice,Maison,Vente Maison à vendre Nice (06000) 2 pièces 34 m²,274200,8064.705882352941,34.0,Pro,2026-01-08 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3123959524,"- Emplacement PREMIUM et recherché de Nice : CARRE D'OR - Dernier étage avec terrasse circulaire rare exposition Sud, - A 10 mn à pied des plages, ..."
